id,Titular
1,Autoridades venezolanas admiten paso de estudiantes y enfermos ...
2,20 años de cárcel para dos venezolanas que asesinaron a reciclador
3,"La 'mami' de La Parada, una luz para los migrantes (Venezolanas en ..."
4,Cuatro detenidos en España por explotar sexualmente a mujeres ...
5,"Por falsas promesas de trabajo, venezolanas terminan ..."
6,Cuatro detenidos en España por prostituir a venezolanas y colombianas
7,Autoridades venezolanas instalan un nuevo contenedor en puente ...
8,¡Así lavan los platos en Venezuela!
9,Desmantelan banda que prostituía a colombianas y venezolanas en ...
10,"'Dije la verdad, son una fábrica de niños pobres': Rodolfo Hernández"
11,Autoridades venezolanas admiten paso de estudiantes y enfermos ...
12,20 años de cárcel para dos venezolanas que asesinaron a reciclador
13,"La 'mami' de La Parada, una luz para los migrantes (Venezolanas en ..."
14,Cuatro detenidos en España por explotar sexualmente a mujeres ...
15,"Por falsas promesas de trabajo, venezolanas terminan ..."
16,Cuatro detenidos en España por prostituir a venezolanas y colombianas
17,Autoridades venezolanas instalan un nuevo contenedor en puente ...
18,¡Así lavan los platos en Venezuela!
19,"'Dije la verdad, son una fábrica de niños pobres': Rodolfo Hernández"
20,"Muerte lenta en Venezuela, la vida después del apagón"
21,Por trocha repatrían cuerpos de personas fallecidas en Venezuela
22,Barco de Puerto Rico hacia Venezuela “recibió amenaza directa de ...
23,EEUU revoca visas de otros 340 allegados a Maduro
24,Queman dos camiones con ayuda humanitaria que pasaron frontera ...
25,Murió otro venezolano del accidente en la vía Valledupar – Valencia ...
26,"Maduro aboga por ""ayuda divina"", para solucionar crisis en las ..."
27,EE.UU. acusa a Venezuela de incrementar la represión después del ...
28,Autoridades venezolanas anunciaron investigación a Guaidó por ...
29,"'Mantenga su venezolana', la canción que genera polémica en la costa"
30,"Relaciones venezolanas con Bonaire, Aruba y Curazao pasan a ..."
31,"'Mantenga su venezolana', la canción que genera polémica en la costa"
32,Denuncian 124 detenciones durante protestas en apagón de Venezuela
33,"Banco ruso Rusfincorp, sancionado por EE.UU., asumirá cuentas de ..."
34,Ayuda humanitaria: militares de EE.UU. y Colombia piden a Fuerzas ...
35,¿Habrá efecto dominó por deserciones venezolanas?
36,"En Ureña, niños piden que los dejen cruzar la frontera para estudiar"
37,Río de susurros
38,¿Puede el gobierno colombiano transferir las empresas venezolanas ...
39,"Nacer, comer y vivir en la frontera"
40,Defensa Civil busca evaluar con ente venezolano crisis humanitaria
41,Expertos en libertad de expresión advierten sobre aumento de ...
42,Fundaciones venezolanas refuerzan labor para atender a sus ...
43,Gobierno confirmó retiro de todo el personal diplomático de Venezuela
44,Este martes habrá reunión extraordinaria en la ONU sobre situación ...
45,Familias venezolanas y cartageneras invaden terreno y construyen ...
46,Primeros camiones con ayuda desde Colombia permanecen ...
47,Guaidó pregunta a Fuerzas Armadas venezolanas: ¿Qué más van a ...
48,"Periodista Luis Carlos Díaz se quedará en Venezuela, dicen sus padres"
49,Fuerzas venezolanas impiden paso de ayuda humanitaria
50,La CIDH condena la violencia en las fronteras venezolanas
51,Fuerzas venezolanas impiden paso de ayuda humanitaria
52,"En incertidumbre, familias venezolanas que debieron abandonar ..."
53,Autoridades venezolanas bloquean con contenedores puente La Unión
54,Nicolás Maduro usa Bandes Uruguay ante restricciones del sistema ...
55,Una lupa sobre las mujeres venezolanas migrantes
56,Bomberos calificaron de ofensivo al alcalde Hernández por llamarlos ...
57,Maduro pide rechazar violencia como forma de hacer política en ...
58,Estén del lado correcto: Duque a FFAA Venezuela
59,"Jefe de la ONU ruega a Venezuela ""no usar fuerza contra ..."
60,Gobierno venezolano ubicó nuevos obstáculos en el puente ...
61,Critican a Kika Nieto por hacer un video con venezolanas
62,Denuncian desintegración familiar por éxodo de venezolanos
63,Las migrantes venezolanas terminarán cuidando a otros
64,Ahora migrantes caminan en familia
65,"Prostitución de venezolanas en Colombia, otro drama del éxodo"
66,Las encerraban con candado: venezolanas obligadas a prostituirse ...
67,Distrito atendió más de 3.000 partos de venezolanas en 2018 en Bogotá
68,Inmigración de venezolanas: un problema de salud pública
69,En hospital de Cúcuta nacen más niños hijos de venezolanas que de ...
70,La tensa calma en la frontera venezolana con Colombia y Brasil
71,Así operaba banda que esclavizaba sexualmente a mujeres ...
72,Gobierno de Venezuela señala que explosión en sede de PDVSA fue ...
73,Suiza investiga presuntas cuentas corruptas de Capriles
74,Gobierno impide ingreso a Colombia de familiares de Maduro
75,Marta Lucía Ramírez aprovecha el pantallazo y se las da de periodista ...
76,Maduro les pide a venezolanos tener linternas y tanques de agua
77,Despliegue de tropas venezolanas en la frontera con Colombia
78,En Magdalena cada día se atienden dos partos de venezolanas
79,5 mujeres venezolanas dan a luz diariamente en el Atlántico
80,Ahora migrantes caminan en familia
81,Bogotá registra atención a más de cinco mil venezolanas embarazadas
82,Ambulancias venezolanas cruzaron a Brasil con cinco heridos
83,"""La valentía del pueblo hará que las fuerzas militares venezolanas se ..."
84,“Tropas en la frontera muestran el miedo de Maduro”: líder ...
85,Barcos venezolanos zarparon para impedir que llegue ayuda desde ...
86,"Migración afecta las mascotas de familias venezolanas, en ambos ..."
87,En Cúcuta ahora nacen más bebés venezolanos que colombianos
88,El apagón de Nicolás Maduro
